ERAID,Rank,Title,FoR1,FoR1 Name,FoR2,FoR2 Name,FoR3,FoR2 Name,ISSN1,ISSN2,ISSN3,ISSN4
36940,B,Te Reo,2004,Linguistics,,,,,0494-8440,,,
20757,B,Teacher Development,1303,Specialist Studies In Education,,,,,1366-4530,1747-5120,,
20758,B,Teacher Education and Practice,1303,Specialist Studies In Education,,,,,0890-6459,,,
20779,C,Teacher Education and Special Education,1303,Specialist Studies In Education,,,,,0888-4064,1944-4931,,
20759,B,Teacher Education Quarterly,1303,Specialist Studies In Education,,,,,0737-5328,,,
20747,A,Teachers and Teaching,1303,Specialist Studies In Education,,,,,1354-0602,1470-1278,,
20740,A,"Teachers College Record: a professional journal of ideas, research and informed opinion",1303,Specialist Studies In Education,,,,,0161-4681,1467-9620,,
35711,B,Teaching and Learning in Medicine: an international journal,1302,Curriculum and Pedagogy ,1115,Pharmacology and Pharmaceutical Sciences,,,1040-1334,1532-8015,,
41337,C,Teaching and Learning in Nursing,1110,Nursing,,,,,1557-2013,1557-3087,,
20580,B,Teaching and Learning: journal of natural inquiry and reflective practice,13,Education,,,,,0887-9486,1930-8906,,
20739,B,Teaching and Teacher Education,1303,Specialist Studies In Education,,,,,0742-051X,1879-2480,,
20113,C,Teaching Artist Journal,1302,Curriculum and Pedagogy ,,,,,1541-1796,1541-180X,,
20501,B,Teaching Children Mathematics,1302,Curriculum and Pedagogy ,,,,,1073-5836,,,
20752,A,Teaching Education,1303,Specialist Studies In Education,,,,,1047-6210,1470-1286,,
41467,B,Teaching English with Technology,1302,Curriculum and Pedagogy ,1303,Specialist Studies In Education,,,1642-1027,,,
37086,C,Teaching Ethics: The Journal of the Society for Ethics across the Curriculum,2203,Philosophy ,,,,,1544-4031,,,
41460,B,Teaching German,1302,Curriculum and Pedagogy ,,,,,0042-062X,1756-1221,,
19316,A,Teaching in Higher Education,1303,Specialist Studies In Education,,,,,1356-2517,1470-1294,,
20507,B,Teaching Mathematics and Its Applications,1302,Curriculum and Pedagogy ,,,,,0268-3679,1471-6976,,
6687,C,Teaching of Psychology,1302,Curriculum and Pedagogy ,1701,Psychology,,,0098-6283,1532-8023,,
37109,C,Teaching Philosophy,2203,Philosophy ,1301,Education Systems ,,,0145-5788,,,
20775,C,Teaching Public Administration,1302,Curriculum and Pedagogy ,,,,,0144-7394,,,
22303,B,Teaching Science,1302,Curriculum and Pedagogy ,,,,,1449-6313,1442-5556,0045-0855,
20780,C,Teaching Sociology,1608,Sociology,1302,Curriculum and Pedagogy ,,,0092-055X,1939-862X,,
40269,B,Teaching South Asia (Missouri),MD,Multidisciplinary,,,,,1529-8558,,,
20776,B,Teaching Statistics: an international journal for teachers,1303,Specialist Studies In Education,,,,,0141-982X,1467-9639,,
20777,C,Teaching Theology and Religion,1302,Curriculum and Pedagogy ,,,,,1368-4868,1467-9647,,
31152,C,Team Performance Management,1503,Business and Management,,,,,1352-7592,1758-6860,,
11432,C,Techne: Research in Philosophy and Technology,2202,History and Philosophy Of Specific Fields,,,,,1091-8264,,,
9251,C,Technical Communication,2001,Communication and Media Studies,,,,,0049-3155,1938-369X,,
20121,C,Technical Communication Quarterly,1303,Specialist Studies In Education,2001,Communication and Media Studies,,,1057-2252,1542-7625,,
1039,C,Technical Physics,0202,"Atomic, Molecular, Nuclear, Particle and Plasma Physics",0299,Other Physical Sciences,,,1063-7842,1090-6525,0044-4642,0038-5662
1040,B,Technical Physics Letters,0202,"Atomic, Molecular, Nuclear, Particle and Plasma Physics",0299,Other Physical Sciences,,,1063-7850,1090-6533,0320-0116,0360-120X
10719,C,Technical Services Quarterly,0807,Library and Information Studies,,,,,0731-7131,1555-3337,,
4618,C,Technichna Elektrodynamika,0906,Electrical and Electronic Engineering,,,,,1607-7970,,,
4137,C,"Technika Poszukiwan Geologicznych, Geosynoptyka i Geotermia",0914,Resources Engineering and Extractive Metallurgy,,,,,0304-520X,0040-1161,,
9617,C,Techniques and Culture,1601,Anthropology ,,,,,0248-6016,,,
35160,B,Techniques in Coloproctology,1103,Clinical Sciences,,,,,1123-6337,1128-045X,,
16890,C,Techniques in Hand and Upper Extremity Surgery,1103,Clinical Sciences,,,,,1089-3393,1531-6572,,
16891,C,Techniques in Regional Anesthesia and Pain Management,1103,Clinical Sciences,,,,,1084-208X,1558-4534,,
10557,C,Technoetic Arts: a journal of speculative research,19,Studies In Creative Arts and Writing,,,,,1477-965X,1758-9533,,
33005,A,Technological Forecasting and Social Change,10,Technology,,,,,0040-1625,1873-5509,,
19039,B,Technology Analysis and Strategic Management,1503,Business and Management,,,,,0953-7325,1465-3990,,
11434,B,Technology and Culture,2202,History and Philosophy Of Specific Fields,,,,,0040-165X,1097-3729,,
36440,B,Technology and Disability,1303,Specialist Studies In Education,,,,,1055-4181,1878-643X,,
16892,B,Technology in Cancer Research and Treatment,1112,Oncology and Carcinogenesis,,,,,1533-0346,1533-0338,,
10948,C,Technology in Society,1608,Sociology,,,,,0160-791X,1879-3274,,
39591,C,Technology Innovations in Statistics Education,0104,Statistics ,,,,,1933-4214,,,
20234,B,Technology Instruction Cognition and Learning,1303,Specialist Studies In Education,,,,,1540-0182,1540-0174,1027-1015,0022-4774
20271,B,Technology Pedagogy and Education,1302,Curriculum and Pedagogy ,,,,,1475-939X,1747-5139,0962-029X,
41122,C,Technology Source,1301,Education Systems ,,,,,1532-0030,,,
869,A,Technometrics,0104,Statistics ,,,,,0040-1706,1537-2723,,
22304,A,Technovation,1503,Business and Management,,,,,0166-4972,,,
35710,B,TechTrends: for leaders in education and training,1303,Specialist Studies In Education,,,,,8756-3894,1559-7075,,
9732,B,Tecnologia de Alimentos,0908,Food Sciences,,,,,0564-6758,,,
44954,C,Tecnologia y Construccion,1202,Building,,,,,0798-9601,,,
1889,A*,Tectonics,0403,Geology,0404,Geophysics,,,0278-7407,1944-9194,,
1890,B,Tectonophysics,0403,Geology,0404,Geophysics,,,0040-1951,,,
4847,C,Tekhnologiya Metallov,0914,Resources Engineering and Extractive Metallurgy,,,,,1684-2499,,,
7760,C,Tekmeria: contributions to the history of the Greek and Roman world,2103,Historical Studies,,,,,1106-661X,,,
4386,C,Teknik Dergi,0905,Civil Engineering,0909,Geomatic Engineering ,,,1300-3453,,,
8270,B,Tel Aviv: journal of the Sonia and Marco Nadler Institute of Archaeology,2002,Cultural Studies,2101,Archaeology,,,0334-4355,,,
5091,C,Telecommunication Systems,1005,Communications Technologies,,,,,1018-4864,1572-9451,,
36800,C,Telecommunications Journal of Australia,1801,Law,1005,Communications Technologies,,,0040-2486,1835-4270,,
5090,A,Telecommunications Policy,MD,Multidisciplinary,,,,,0308-5961,1879-3258,,
5102,C,Telekommunikatsii,1005,Communications Technologies,,,,,1684-2588,,,
5094,C,Telekomunikacja Cyfrowa: technologie I uslugi,1005,Communications Technologies,,,,,1505-9405,,,
32172,C,Telematics and Informatics,0806,Information Systems,0899,Other Information and Computing Sciences,,,0736-5853,,,
13804,C,Telemedicine and e-Health,1117,Public Health and Health Services,1199,Other Medical and Health Sciences,0903,Biomedical Engineering ,1556-3669,1530-5627,1078-3024,
9252,A*,Television and New Media,1902,"Film, Television and Digital Media",2001,Communication and Media Studies,2002,Cultural Studies,1527-4764,1552-8316,,
1943,B,Tellus Series A: Dynamic Meteorology and Oceanography,0401,Atmospheric Sciences,0405,Oceanography,,,0280-6495,1600-0870,,
1989,A,Tellus. Series B: Chemical and Physical Meteorology,0401,Atmospheric Sciences,,,,,0280-6509,1600-0889,,
36753,C,Telopea,0603,Evolutionary Biology,,,,,0312-9764,0077-8753,,
19040,B,Telos,1606,Political Science,2203,Philosophy ,,,0090-6514,1940-459X,,
35000,B,Teme: casopis za drustvene nauke,1601,Anthropology ,2204,Religion and Religious Studies,,,0353-7919,1820-7804,,
12956,A,"Temenos: studies in comparative religion presented by scholars in Denmark, Finland, Norway and Sweden",2204,Religion and Religious Studies,,,,,0497-1817,,,
33956,C,Temple Environment Law and Technology Journal,1801,Law,,,,,0885-2987,,,
33835,B,Temple International and Comparative Law Journal,1801,Law,,,,,0889-1915,,,
33836,B,Temple Law Review,1801,Law,,,,,0899-8086,0040-2974,,
33837,C,Temple Political and Civil Rights Law Review,1801,Law,,,,,1062-5887,,,
10192,B,"Tempo (London, 1939): a quarterly review of modern music",1904,Performing Arts and Creative Writing,,,,,0040-2982,1478-2286,,
8271,B,Tempus,1601,Anthropology ,2101,Archaeology,,,1323-6040,,,
13198,C,TEN-Contemporary Psychiatry in Focus,1103,Clinical Sciences,,,,,1527-0815,,,
5216,C,Tennessee Agri Science,07,Agricultural and Veterinary Sciences,,,,,0040-3229,,,
40927,B,Tennessee Historical Quarterly,2103,Historical Studies,,,,,0040-3261,,,
33839,C,Tennessee Law Review,1801,Law,,,,,0040-3288,,,
14275,C,Tennessee Nurse,1110,Nursing,,,,,1055-3134,,,
12222,C,Tenso: bulletin of the Societe Guilhem IX,2005,Literary Studies,,,,,0890-3352,1944-0146,,
12957,B,Teologinen Aikakauskirja,2204,Religion and Religious Studies,,,,,0040-3555,,,
8678,C,Teorema,2203,Philosophy ,,,,,0210-1602,,,
8679,C,Teoria: rivista di filosofia,2203,Philosophy ,,,,,1122-1259,,,
11435,C,Teorie Vedy,2202,History and Philosophy Of Specific Fields,,,,,1210-0250,,,
19704,C,Teoros: revue de recherche en tourisme,1506,Tourism,,,,,0712-8657,,,
9140,C,Terminologie et Traduction,2004,Linguistics,,,,,0256-7873,,,
9141,B,Terminology: international journal of theoretical and applied issues in specialized communication,2004,Linguistics,,,,,0929-9971,1569-9994,,
34364,C,Terra,0406,Physical Geography and Environmental Geoscience,,,,,1012-7089,,,
1891,C,Terra Antartica: an Antarctic earth science journal,04,Earth Sciences,,,,,1122-8628,,,
4387,C,Terra et Aqua,04,Earth Sciences,09,Engineering,,,0376-6411,,,
1759,A,Terra Nova,04,Earth Sciences,,,,,0954-4879,1365-3121,,
9618,C,Terrain,1601,Anthropology ,,,,,0760-5668,,,
17426,B,Terrorism and Political Violence,1602,Criminology,1606,Political Science,,,0954-6553,1556-1836,,
20363,B,Tertiary Education and Management,1303,Specialist Studies In Education,,,,,1358-3883,1573-1936,,
19998,C,Tesl Canada Journal,1302,Curriculum and Pedagogy ,,,,,0826-435X,,,
20451,B,Tesl-Ej,1302,Curriculum and Pedagogy ,,,,,1072-4303,,,
20770,C,Tesol in Context,1302,Curriculum and Pedagogy ,,,,,1030-8385,,,
20432,A,TESOL Quarterly: a journal for teachers of English to speakers of other languages and of standard English as a second dialect,2004,Linguistics,1302,Curriculum and Pedagogy ,,,0039-8322,1545-7249,,
32739,C,Tessera,1699,Other Studies In Human Society,,,,,0840-4631,,,
870,B,Test,0104,Statistics ,,,,,1133-0686,1863-8260,,
1601,A,Tetrahedron,0305,Organic Chemistry,,,,,0040-4020,1464-5416,,
1602,A,Tetrahedron Letters,0305,Organic Chemistry,,,,,0040-4039,1873-3581,,
1387,B,Tetrahedron-Asymmetry,0305,Organic Chemistry,,,,,0957-4166,1362-511X,,
4738,B,Tetsu to Hagane-Journal of the Iron and Steel Institute of Japan,0914,Resources Engineering and Extractive Metallurgy,,,,,0021-1575,,,
5217,C,Texas Agricultural Experiment Station Bulletin,07,Agricultural and Veterinary Sciences,,,,,0096-6061,,,
5218,C,Texas Agricultural Experiment Station Miscellaneous Publication,07,Agricultural and Veterinary Sciences,,,,,0097-6334,,,
32699,C,Texas Dental Journal,1105,Dentistry,,,,,0040-4284,,,
33840,C,Texas Hispanic Journal of Law and Policy,1801,Law,,,,,1547-4887,1075-8461,,
33841,B,Texas Intellectual Property Law Journal,1801,Law,,,,,1068-1000,,,
33842,A,Texas International Law Journal,1801,Law,,,,,0163-7479,,,
33843,C,"Texas Journal of Oil, Gas and Energy Law",1801,Law,,,,,1559-2189,1937-0466,,
17495,C,Texas Journal of Science,MD,Multidisciplinary,,,,,0040-4403,,,
33844,B,Texas Journal of Women and the Law,1801,Law,,,,,1058-5427,1943-1155,,
33845,C,Texas Journal on Civil Liberties and Civil Rights,1801,Law,,,,,1930-2045,1085-942X,,
33846,A,Texas Law Review,1801,Law,,,,,0040-4411,1942-857X,,
35361,C,Texas Review of Entertainment and Sports Law,1801,Law,,,,,1533-1903,,,
33848,B,Texas Review of Law and Politics,1801,Law,,,,,1098-4577,1942-8618,,
9397,A*,Texas Studies in Literature and Language,2003,Language Studies,2005,Literary Studies,,,0040-4691,1534-7303,,
33849,C,Texas Tech Administrative Law Journal,1801,Law,,,,,1942-9789,1942-8588,1545-3804,1068-5634
33850,C,Texas Tech Law Review,1801,Law,,,,,0564-6197,1942-860X,,
33851,C,Texas Wesleyan Law Review,1801,Law,,,,,1081-5449,1942-8634,,
35836,A,Text,1904,Performing Arts and Creative Writing,,,,,1327-9556,,,
12225,A,Text and Performance Quarterly,1904,Performing Arts and Creative Writing,2005,Literary Studies,,,1046-2937,1479-5760,,
41117,C,Text and Presentation,1904,Performing Arts and Creative Writing,,,,,1054-724X,,,
9143,A,"Text and Talk: an interdisciplinary journal of language, discourse and communication studies",2004,Linguistics,1702,Cognitive Science,,,1860-7330,1860-7349,0165-4888,
9144,B,Text Technology: the journal of computer text processing,0803,Computer Software,2004,Linguistics,,,1053-900X,,,
37027,A,Texte: revue de critique et de theorie litteraire,2005,Literary Studies,,,,,0715-8920,,,
41455,B,Textile History,2102,Curatorial and Related Studies,,,,,0040-4969,1743-2952,,
3629,A,Textile Research Journal,0910,Manufacturing Engineering,0912,Materials Engineering,,,0040-5175,1746-7748,,
10193,A,Textile: the journal of cloth and culture,1901,Art Theory and Criticism,1905,Visual Arts and Crafts,,,1475-9756,1751-8350,,
12226,C,Texto Critico,2005,Literary Studies,,,,,0185-0830,,,
11647,A,Textual Practice: an international journal of radical literary studies,2005,Literary Studies,,,,,0950-236X,1470-1308,,
11514,C,Textual Studies in Canada: Canada's journal of cultural literacy,2002,Cultural Studies,,,,,1183-854X,,,
12227,C,Texture,2005,Literary Studies,,,,,1061-6365,,,
12228,B,Textus: English studies in Italy,2005,Literary Studies,2099,"Other Language, Communication and Culture",,,1824-3967,1825-6589,,
34508,C,Thalassas: an international journal of marine sciences,0405,Oceanography,,,,,0212-5919,,,
19200,A,The Academy of Management Perspectives,1503,Business and Management,,,,,1558-9080,1943-4529,1079-5545,
35252,C,The Acorn,2203,Philosophy ,,,,,1092-6534,,,
32844,B,The Adam Smith Review,1401,Economic Theory,,,,,1743-5285,,,
3573,A,The Aeronautical Journal,0901,Aerospace Engineering,,,,,0001-9240,,,
41451,Not ranked,The African Journal of Information Systems,0806,Information Systems,1503,Business and Management,,,1936-0282,,,
3435,C,The African Journal of Mycology and Biotechnology,1002,Environmental Biotechnology,,,,,1110-5879,,,
40656,B,The Air and Space Power Journal,1606,Political Science,,,,,1555-385X,1554-2505,1535-4245,
40725,C,The Alabama Review: a journal of Alabama history,2103,Historical Studies,,,,,0002-4341,,,
11681,C,The Ambrose Bierce Project Journal,2005,Literary Studies,,,,,1939-4578,,,
31420,C,The American Benedictine Review,2204,Religion and Religious Studies,,,,,0002-7650,,,
35676,B,The American Biology Teacher,13,Education,,,,,0002-7685,1938-4211,,
18181,A*,The American Economic Review,14,Economics,,,,,0002-8282,0065-812X,1532-5059,
8302,A,The American Journal of Bioethics,2201,Applied Ethics,1117,Public Health and Health Services,,,1526-5161,1536-0075,,
34129,A,The American Journal Of Chinese Medicine,1104,Complementary and Alternative Medicine,,,,,0192-415X,1793-6853,,
8710,B,The American Journal of Semiotics,2004,Linguistics,1702,Cognitive Science,,,0277-7126,,,
15661,B,The American Journal of Surgery,1103,Clinical Sciences,,,,,0002-9610,,,
3196,A*,The American Naturalist,06,Biological Sciences,,,,,0003-0147,1537-5323,,
36119,B,The American Sociologist,15,"Commerce, Management, Tourism and Services",,,,,0003-1232,1936-4784,,
35400,B,"The American University Journal of Gender, Social Policy and the Law",1801,Law,1605,Policy and Administration,,,1557-3753,1068-428X,,
6752,A*,The Americas: a quarterly review of Inter-American cultural history,2103,Historical Studies,2002,Cultural Studies,,,0003-1615,1533-6247,,
11687,C,The AnaChronisT,2005,Literary Studies,,,,,1219-2589,,,
1608,A*,The Analyst,0301,Analytical Chemistry,,,,,0003-2654,,,
41444,A,The Anatomical Record Part B: The New Anatomist,1116,Medical Physiology,0606,Physiology ,,,1552-4906,1552-4914,,
20938,A,"The Annals of Regional Science: international journal of urban, regional and environmental research and policy",1205,Urban and Regional Planning,,,,,0570-1864,1432-0592,,
11697,C,The Antigonish Review,2005,Literary Studies,,,,,0003-5661,,,
36729,C,The Arbitrator and Mediator,1801,Law,,,,,1446-0548,,,
44923,B,The Architect,1201,Architecture,,,,,1001-6740,,,
9450,A,The Asia Pacific Journal of Anthropology,1601,Anthropology ,1904,Performing Arts and Creative Writing,,,1444-2213,1740-9314,0314-9099,
56,B,The Asian Journal of Mathematics,0101,Pure Mathematics,,,,,1093-6106,1945-0036,,
1048,A,The Astronomical Journal,0201,Astronomical and Space Sciences,,,,,0004-6256,1538-3881,,
1053,A,The Astronomy and Astrophysics Review,0201,Astronomical and Space Sciences,,,,,0935-4956,1432-0754,,
1057,A*,The Astrophysical Journal: an international review of astronomy and astronomical physics,0201,Astronomical and Space Sciences,,,,,0004-637X,1538-4357,,
11524,B,The Atlantic Literary Review,2005,Literary Studies,,,,,0972-3269,,,
8327,A,The Australasian Journal of Logic,2203,Philosophy ,,,,,1448-5052,,,
36901,C,The Australian cinematographer,1902,"Film, Television and Digital Media",,,,,1440-978X,,,
41450,C,The Australian Community Psychologist,1701,Psychology,,,,,1320-7741,,,
5299,C,The Australian Cottongrower,0703,Crop and Pasture Production,,,,,0159-1290,,,
18190,B,The Australian Economic Review,14,Economics,,,,,0004-9018,1467-8462,,
14056,C,The Australian Electronic Journal of Nursing Education,1302,Curriculum and Pedagogy ,,,,,1322-8676,,,
33107,A,The Australian Feminist Law Journal,1801,Law,,,,,1320-0968,,,
18331,A,The Australian Journal of Agricultural and Resource Economics,1402,Applied Economics,,,,,1364-985X,1467-8489,0004-9395,0034-6616
20652,C,The Australian Journal of Education in Chemistry,1302,Curriculum and Pedagogy ,,,,,1445-9698,,,
36014,C,The Australian Journal of Emergency Management,1605,Policy and Administration,1103,Clinical Sciences,2001,Communication and Media Studies,1324-1540,0817-4024,,
11099,B,The Australian Journal of Indigenous Education,1303,Specialist Studies In Education,,,,,1326-0111,0310-5822,,
64,C,The Australian Journal of Mathematical Analysis and Applications,0101,Pure Mathematics,0102,Applied Mathematics,,,1449-5910,,,
13435,C,The Australian Journal of Rehabilitation Counselling,1607,Social Work,,,,,1323-8922,,,
44874,C,The Australian Naval Architect,0911,Maritime Engineering ,,,,,1441-0125,,,
35890,C,The Baltic Journal of Road and Bridge Engineering,1507,Transportation and Freight Services,,,,,1822-427X,1822-4288,,
11710,C,The Baltimore Review,2005,Literary Studies,,,,,1092-5716,,,
30475,A*,The BE Journal in Theoretical Economics,1401,Economic Theory,,,,,1935-1704,1555-0478,1534-5955,
18299,A,The BE Journal of Macroeconomics,1401,Economic Theory,,,,,1935-1690,1534-6021,1534-6013,1534-6005
6121,B,The Behavior Analyst,1701,Psychology,,,,,0738-6729,,,
41440,C,The Behavior Analyst Today: a context for science with a commitment for change,1117,Public Health and Health Services,,,,,1539-4352,,,
12654,B,The Bible and Critical Theory,2204,Religion and Religious Studies,,,,,1832-3391,,,
41824,C,The Bible Today,2204,Religion and Religious Studies,,,,,0006-0836,,,
10273,C,The Blue Notebook: a new journal for artists' books,19,Studies In Creative Arts and Writing,,,,,1751-1712,1751-1720,,
2571,B,The Botanical Review,0607,Plant Biology,,,,,0006-8101,1874-9372,,
15822,B,The Breast,1103,Clinical Sciences,,,,,0960-9776,1532-3080,,
36178,B,The Breast Journal,1701,Psychology,,,,,1075-122X,1524-4741,,
10277,A,The British Art Journal: the research journal of British art studies,1901,Art Theory and Criticism,,,,,1467-2006,,,
8341,A*,The British Journal for the Philosophy of Science,2202,History and Philosophy Of Specific Fields,2203,Philosophy ,1702,Cognitive Science,0007-0882,1464-3537,,
17028,A*,The British Journal of Criminology: an international review of crime and society,1602,Criminology,1801,Law,,,0007-0955,1464-3529,,
15830,C,The British Journal of Diabetes and Vascular Disease,1103,Clinical Sciences,,,,,1474-6514,1753-4305,,
18741,B,The British Journal of Politics and International Relations,1606,Political Science,,,,,1369-1481,1467-856X,,
34193,A*,The British Journal of Social Work,1607,Social Work,,,,,0045-3102,1468-263X,,
35427,C,"The Brooklyn Journal of Corporate, Financial and Commercial Law",1801,Law,,,,,1934-2497,,,
11725,C,The Bryn Mawr Review of Comparative Literature,2005,Literary Studies,,,,,1523-5734,,,
33151,C,The Buffalo Public Interest Law Journal,1801,Law,,,,,0897-1331,,,
44891,Not ranked,The Built and Human Environment Review,1202,Building,,,,,1759-0574,,,
476,A,The Bulletin of Symbolic Logic,0101,Pure Mathematics,,,,,1079-8986,1943-5894,,
31133,C,"The Business Review, Cambridge",1503,Business and Management,,,,,1553-5827,,,
37016,C,The Byron Journal,2005,Literary Studies,,,,,0301-7257,,,
6957,A,The Cambridge Classical Journal,2103,Historical Studies,,,,,1750-2705,0068-6735,,
11537,C,The Cambridge Quarterly,2005,Literary Studies,,,,,0008-199X,1471-6836,,
35491,C,The Cambridge Yearbook of European Legal Studies,1801,Law,,,,,1528-8870,,,
45043,A*,The Campbell Collaboration Library of Systematic Reviews,MD,Multidisciplinary,,,,,1891-1803,,,
2004,B,The Canadian Geographer,0406,Physical Geography and Environmental Geoscience,1604,Human Geography,,,0008-3658,1541-0064,,
41567,C,The Canadian Journal of Career Development,1608,Sociology,1699,Other Studies In Human Society,,,1499-1845,,,
15870,B,The Cancer Journal,1112,Oncology and Carcinogenesis,,,,,1528-9117,1540-336X,,
11739,C,The Caribbean Writer,2005,Literary Studies,,,,,0893-1550,,,
11741,C,The Carolina Quarterly,2005,Literary Studies,,,,,0008-6797,,,
30393,C,The Cato Journal: an interdisciplinary journal of public policy analysis,1606,Political Science,,,,,0273-3072,1943-3468,,
14513,C,The Cerebellum: an international journal from neurosciences to clinical perspectives,1109,Neurosciences,1702,Cognitive Science,,,1473-4222,1473-4230,,
11750,C,The Chariton Review,2005,Literary Studies,,,,,0098-9452,,,
3860,C,The Chemical Engineer: the essential magazine for the chemical and process industries,0904,Chemical Engineering ,,,,,0302-0797,,,
21253,C,The China and Eurasia Forum Quarterly,1606,Political Science,,,,,1653-4212,,,
18754,A*,The China Journal,MD,Multidisciplinary,,,,,1324-9347,0156-7365,,
36302,C,The China Review: an interdisciplinary journal on greater China,MD,Multidisciplinary,,,,,1680-2012,1015-6607,,
21268,C,The Chinese Economy: translation and studies,1402,Applied Economics,,,,,1097-1475,1558-0954,0009-4552,
6969,C,The Chinese Historical Review: the journal of Chinese historians in the United States,2103,Historical Studies,,,,,1547-402X,1043-643X,,
10300,C,The Classicist,1201,Architecture,2103,Historical Studies,1905,Visual Arts and Crafts,1076-2922,,,
20080,C,The Clearing House,1301,Education Systems ,,,,,0009-8655,1939-912X,,
41437,A,The Clinical Respiratory Journal,1102,Cardiovascular Medicine and Haematology,1107,Immunology,,,1464‐780X,1752-699X,,
34261,C,The Clinical Supervisor: the journal of supervision in psychotherapy and mental health,1607,Social Work,,,,,0732-5223,1545-231X,,
20525,B,The Clinical Teacher,1302,Curriculum and Pedagogy ,,,,,1743-4971,1743-498X,,
11760,C,The Coastal Review,2005,Literary Studies,,,,,1930-2797,,,
40146,Not ranked,The Cognitive Behaviour Therapist,1702,Cognitive Science,1701,Psychology,,,1754-470X,,,
33200,B,The Columbia Journal of European Law,1801,Law,,,,,1076-6715,,,
9209,A,The Communication Review,2001,Communication and Media Studies,,,,,1071-4421,1547-7487,0305-4233,
11769,C,The Comparatist,2005,Literary Studies,,,,,0195-7678,1559-0887,,
17794,A*,The Computer Journal,08,Information and Computing Sciences,,,,,0010-4620,1460-2067,,
33216,C,The Connecticut Public Interest Law Journal,1801,Law,,,,,1932-2046,1932-2038,,
40080,C,The Conradian,2005,Literary Studies,,,,,0951-2314,,,
36109,C,The Consortium Journal of Hospitality and Tourism,1504,Commercial Services,1506,Tourism,,,1535-0568,,,
33225,C,The Corporate Governance Law Review,1801,Law,,,,,1449-9029,,,
6205,A,The Counseling Psychologist,1701,Psychology,,,,,0011-0000,1552-3861,,
40917,C,The Court Historian,1901,Art Theory and Criticism,,,,,1462-9712,,,
34506,C,The Cryosphere,0405,Oceanography,0406,Physical Geography and Environmental Geoscience,,,1994-0416,1994-0424,,
41452,C,"The Cyprus Review: a journal of social, economic and political issues",1606,Political Science,1608,Sociology,1699,Other Studies In Human Society,1015-2881,,,
11547,B,The Dalhousie Review: a Canadian journal of literature and opinion,2005,Literary Studies,,,,,0011-5827,,,
32564,C,The Dental Assistant,1105,Dentistry,,,,,1088-3886,,,
18507,B,The Developing Economies,1402,Applied Economics,1605,Policy and Administration,1205,Urban and Regional Planning,0012-1533,1746-1049,,
19996,C,The Development Education Journal,1303,Specialist Studies In Education,,,,,1354-0742,,,
30442,C,The Diabetes Educator,1110,Nursing,,,,,0145-7217,1554-6063,,
34603,B,The Dostoevsky Journal: an independent review,2005,Literary Studies,,,,,1535-5314,,,
18342,B,The Economic and Labour Relations Review,1402,Applied Economics,,,,,1035-3046,,,
18205,A*,The Economic Journal,14,Economics,,,,,0013-0133,1468-0297,,
18208,A,The Economic Record,14,Economics,,,,,0013-0249,1475-4932,,
18351,A,The Economics of Transition,1402,Applied Economics,,,,,0967-0750,1468-0351,,
32861,B,The Economists' Voice,14,Economics,,,,,1553-3832,,,
20024,B,The Educational Forum,13,Education,,,,,0013-1725,1938-8098,,
10329,C,The Eighteenth Century Current Bibliography,19,Studies In Creative Arts and Writing,,,,,1930-1812,0161-0996,,
11818,B,The Eighteenth-Century Novel,2005,Literary Studies,,,,,1528-3631,,,
33879,C,The Elder Law Journal,1801,Law,,,,,1070-1478,,,
36554,C,The Electronic Journal of Academic and Special Librarianship,0807,Library and Information Studies,,,,,1704-8532,1525-321X,,
17845,C,The Electronic Journal of Information Systems in Developing Countries,0806,Information Systems,,,,,1681-4835,,,
10598,B,The Electronic Library: the international journal for the application of technology in information environments,0807,Library and Information Studies,,,,,0264-0473,1758-616X,1527-1161,
20231,A,The Elementary School Journal,1301,Education Systems ,,,,,0013-5984,1554-8279,,
2208,A*,The EMBO Journal,0601,Biochemistry and Cell Biology,,,,,0261-4189,1460-2075,,
11114,C,The Emily Dickinson Journal,1699,Other Studies In Human Society,2005,Literary Studies,,,1059-6879,1096-858X,,
18355,C,The Empirical Economics Letters,14,Economics,,,,,1681-8997,,,
16056,C,The Endocrinologist,1103,Clinical Sciences,,,,,1051-2144,1539-9192,,
5833,C,The Environmentalist,05,Environmental Sciences,16,Studies In Human Society,,,0251-1088,1573-2991,,
19084,A,The European Accounting Review,1501,"Accounting, Auditing and Accountability",,,,,0963-8180,1468-4497,,
35634,C,"The European Journal of Economics, Finance and Administrative Sciences",14,Economics,,,,,1450-2275,,,
19540,B,The European Journal of Finance,1502,"Banking, Finance and Investment",,,,,1351-847X,1466-4364,,
17587,C,The European Journal of Technology and Advanced Engineering Research,MD,Multidisciplinary,,,,,1450-202X,,,
22169,A,The European Legacy: toward new paradigms,2103,Historical Studies,2203,Philosophy ,,,1084-8770,1470-1316,,
11562,B,The Explicator,2005,Literary Studies,,,,,0014-4940,1939-926X,,
41203,C,The F. Scott Fitzgerald Review,2005,Literary Studies,,,,,1543-3951,1755-6333,,
41434,C,The Family Journal: counseling and therapy for couples and families,1701,Psychology,0608,Zoology,,,1066-4807,1552-3950,,
2078,A,The FASEB Journal,0601,Biochemistry and Cell Biology,,,,,0892-6638,1530-6860,0014-9446,
